response_ID,age,UBC_student,gender,ethnicity,intelligence_female_asym_1,intelligence_female_asym_1_num,kindness_female_asym_1,kindness_female_asym_1_num,socialclass_female_asym_1,socialclass_female_asym_1_num,Intelligence_female_sym_1,Intelligence_female_sym_1_num,kindness_female_sym_1,kindness_female_sym_1_num,socialclass_female_sym_1,socialclass_female_sym_1_num,Intelligence_female_asym_2,Intelligence_female_asym_2_num,kindness_female_asym_2,kindness_female_asym_2_num,socialclass_female_asym_2,socialclass_female_asym_2_num,intelligence_female_sym_2,intelligence_female_sym_2_num,kindness_female_sym_2,kindness_female_sym_2_num,socialclass_female_sym_2,socialclass_female_sym_2_num,intelligence_male_asym_1,intelligence_male_asym_1_num,kindness_male_asym_1,kindness_male_asym_1_num,socialclass_male_asym_1,socialclass_male_asym_1_num,intelligence_male_sym_1,intelligence_male_sym_1_num,kindness_male_sym_1,kindness_male_sym_1_num,socialclass_male_sym_1,socialclass_male_sym_1_num,intelligence_male_asym_2,intelligence_male_asym_2_num,kindness_male_asym_2,kindness_male_asym_2_num,socialclass_male_asym_2,socialclass_male_asym_2_num,intelligence_male_sym_2,intelligence_male_sym_2_num,kindness_male_sym_2,kindness_male_sym_2_num,socialclass_male_sym_2,socialclass_male_sym_2_num
1,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Moderately Unintelligent,1,Somewhat Kind,3,Upper Low Class,1,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Unintelligent,2,Moderately Unkind,1,Lower Middle Class,2
2,18 - 24,Yes,Female,South Asian,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Unkind,1,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Unkind,1,Lower Middle Class,2
3,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2,Highly Unintelligent,0,Moderately Unkind,1,Lower Low Class,0,Somewhat Unintelligent,2,Somewhat Unkind,2,Upper Low Class,1,Moderately Unintelligent,1,Somewhat Unkind,2,Upper Low Class,1,Highly Intelligent,5,Moderately Kind,4,Lower High Class,4
4,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3
5,18 - 24,Yes,Female,East Asian,Moderately Intelligent,4,Not Kind At All,0,Upper Middle Class,3,Moderately Unintelligent,1,Somewhat Kind,3,Upper Low Class,1,Highly Intelligent,5,Definitely Kind,5,Upper Middle Class,3,Moderately Unintelligent,1,Somewhat Unkind,2,Lower Middle Class,2,Highly Unintelligent,0,Moderately Unkind,1,Upper Low Class,1,Highly Intelligent,5,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Moderately Unintelligent,1,Moderately Unkind,1,Lower Low Class,0
6,18 - 24,Yes,Male,East Asian,Somewhat Intelligent,3,Moderately Unkind,1,Upper Middle Class,3,Somewhat Unintelligent,2,Moderately Unkind,1,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Unkind,1,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3
7,18 - 24,Yes,Female,East Asian,Moderately Intelligent,4,Somewhat Unkind,2,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Unkind,2,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Unkind,1,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Unkind,2,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2
8,18 - 24,Yes,Female,East Asian,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Low Class,1,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3
9,18 - 24,Yes,Female,East Asian,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Highly Intelligent,5,Moderately Kind,4,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Upper Low Class,1,Somewhat Unintelligent,2,Moderately Kind,4,Lower Middle Class,2,Moderately Unintelligent,1,Moderately Unkind,1,Upper Low Class,1,Highly Intelligent,5,Somewhat Unkind,2,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2
10,18 - 24,Yes,Male,East Asian,Moderately Intelligent,4,Definitely Kind,5,Upper Middle Class,3,Highly Intelligent,5,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Highly Intelligent,5,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Definitely Kind,5,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3
11,18 - 24,Yes,Female,East Asian,Somewhat Unintelligent,2,Moderately Unkind,1,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Moderately Unintelligent,1,Somewhat Kind,3,Upper Low Class,1,Highly Unintelligent,0,Moderately Unkind,1,Lower Middle Class,2,Moderately Unintelligent,1,Somewhat Unkind,2,Lower Middle Class,2,Moderately Unintelligent,1,Moderately Kind,4,Upper Low Class,1,Somewhat Unintelligent,2,Moderately Kind,4,Lower High Class,4
12,18 - 24,Yes,Female,East Asian,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower High Class,4,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Low Class,0,Highly Intelligent,5,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Moderately Unkind,1,Upper Low Class,1
13,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Low Class,1,Somewhat Unintelligent,2,Somewhat Unkind,2,Upper Low Class,1,Somewhat Intelligent,3,Moderately Unkind,1,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Unkind,1,Lower High Class,4
14,18 - 24,Yes,Male,East Asian,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Definitely Kind,5,Upper Low Class,1,Moderately Intelligent,4,Definitely Kind,5,Upper Middle Class,3,Somewhat Unintelligent,2,Not Kind At All,0,Upper High Class,5,Moderately Unintelligent,1,Not Kind At All,0,Lower High Class,4,Highly Intelligent,5,Moderately Unkind,1,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Unkind,1,Lower Middle Class,2,Moderately Unintelligent,1,Somewhat Kind,3,Lower Middle Class,2
15,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower High Class,4,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3
16,18 - 24,Yes,Female,East Asian,Moderately Intelligent,4,Somewhat Kind,3,Lower High Class,4,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Lower High Class,4,Moderately Intelligent,4,Somewhat Kind,3,Lower High Class,4
17,18 - 24,Yes,Female,Middle Eastern,Highly Intelligent,5,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Unintelligent,2,Moderately Unkind,1,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Moderately Unintelligent,1,Somewhat Unkind,2,Lower High Class,4,Highly Unintelligent,0,Moderately Unkind,1,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Unkind,2,Upper High Class,5
18,18 - 24,Yes,Female,Middle Eastern,Moderately Unintelligent,1,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Moderately Unkind,1,Lower Low Class,0,Highly Intelligent,5,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Highly Unintelligent,0,Moderately Unkind,1,Lower Low Class,0,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Low Class,1,Moderately Unintelligent,1,Somewhat Unkind,2,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Unkind,2,Upper Middle Class,3
19,18 - 24,Yes,Female,East Asian,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Lower High Class,4,Highly Intelligent,5,Moderately Kind,4,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2,Moderately Intelligent,4,Moderately Unkind,1,Lower High Class,4,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3
20,18 - 24,Yes,Female,South Asian,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Intelligent,3,Definitely Kind,5,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Lower Middle Class,2,Moderately Unintelligent,1,Somewhat Unkind,2,Upper Low Class,1,Highly Intelligent,5,Moderately Unkind,1,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Unkind,2,Upper High Class,5
21,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Low Class,1,Moderately Intelligent,4,Moderately Kind,4,Lower Middle Class,2,Somewhat Unintelligent,2,Moderately Unkind,1,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2
22,18 - 24,Yes,Female,Middle Eastern,Moderately Intelligent,4,Somewhat Unkind,2,Upper Low Class,1,Moderately Intelligent,4,Moderately Unkind,1,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Upper Low Class,1,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Highly Unintelligent,0,Somewhat Kind,3,Lower High Class,4,Moderately Intelligent,4,Somewhat Unkind,2,Upper High Class,5,Moderately Unintelligent,1,Somewhat Kind,3,Upper Middle Class,3,Moderately Unintelligent,1,Somewhat Kind,3,Lower High Class,4
23,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Unkind,2,Upper Low Class,1,Somewhat Unintelligent,2,Somewhat Kind,3,Lower High Class,4,Somewhat Unintelligent,2,Somewhat Kind,3,Lower High Class,4,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Low Class,1,Highly Intelligent,5,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3
24,18 - 24,Yes,Female,Caucasian,Highly Intelligent,5,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Moderately Unkind,1,Lower High Class,4,Moderately Intelligent,4,Moderately Kind,4,Lower High Class,4,Highly Intelligent,5,Moderately Kind,4,Lower High Class,4,Somewhat Unintelligent,2,Definitely Kind,5,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Upper Low Class,1,Moderately Unintelligent,1,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3
25,18 - 24,Yes,Male,Caucasian,Moderately Intelligent,4,Moderately Unkind,1,Upper Middle Class,3,Somewhat Unintelligent,2,Moderately Kind,4,Upper Low Class,1,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Upper Low Class,1,Moderately Unintelligent,1,Somewhat Kind,3,Upper Low Class,1,Moderately Intelligent,4,Not Kind At All,0,Upper Low Class,1,Moderately Intelligent,4,Moderately Unkind,1,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Low Class,1
26,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Unkind,2,Upper Low Class,1,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Unkind,2,Upper Middle Class,3
27,18 - 24,Yes,Female,East Asian,Moderately Intelligent,4,Moderately Kind,4,Lower High Class,4,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Highly Intelligent,5,Somewhat Kind,3,Lower Middle Class,2,Highly Intelligent,5,Definitely Kind,5,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Moderately Intelligent,4,Definitely Kind,5,Lower High Class,4,Moderately Intelligent,4,Somewhat Kind,3,Lower Middle Class,2
28,18 - 24,Yes,Female,East Asian,Moderately Intelligent,4,Moderately Unkind,1,Lower High Class,4,Somewhat Intelligent,3,Somewhat Kind,3,Lower High Class,4,Moderately Unintelligent,1,Somewhat Kind,3,Upper Low Class,1,Moderately Unintelligent,1,Somewhat Unkind,2,Lower Middle Class,2,Highly Unintelligent,0,Somewhat Kind,3,Lower Low Class,0,Somewhat Unintelligent,2,Moderately Unkind,1,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2
29,18 - 24,Yes,Male,East Asian,Moderately Intelligent,4,Somewhat Unkind,2,Lower High Class,4,Moderately Intelligent,4,Somewhat Kind,3,Lower High Class,4,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower High Class,4
30,18 - 24,Yes,Female,East Asian,Moderately Unintelligent,1,Moderately Unkind,1,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Low Class,1,Moderately Unintelligent,1,Moderately Unkind,1,Lower Low Class,0,Moderately Unintelligent,1,Moderately Unkind,1,Lower Low Class,0,Moderately Unintelligent,1,Somewhat Kind,3,Lower Low Class,0,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3
31,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Highly Intelligent,5,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Lower High Class,4,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3
32,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Upper Low Class,1,Somewhat Unintelligent,2,Somewhat Kind,3,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2
33,18 - 24,Yes,Female,North African (arab) ,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Low Class,1,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Moderately Unkind,1,Upper Low Class,1,Highly Intelligent,5,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Unkind,1,Upper Low Class,1,Moderately Unintelligent,1,Somewhat Kind,3,Upper Middle Class,3
34,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Middle Class,3,Moderately Intelligent,4,Definitely Kind,5,Lower High Class,4,Somewhat Intelligent,3,Somewhat Kind,3,Upper High Class,5,Somewhat Unintelligent,2,Moderately Kind,4,Upper Low Class,1,Moderately Unintelligent,1,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Lower High Class,4,Moderately Unintelligent,1,Moderately Unkind,1,Upper High Class,5
