response_ID,age,UBC_student,gender,ethnicity,intelligence_female_asym_1,intelligence_female_asym_1_num,kindness_female_asym_1,kindness_female_asym_1_num,socialclass_female_asym_1,socialclass_female_asym_1_num,Intelligence_female_sym_1,Intelligence_female_sym_1_num,kindness_female_sym_1,kindness_female_sym_1_num,socialclass_female_sym_1,socialclass_female_sym_1_num,Intelligence_female_asym_2,Intelligence_female_asym_2_num,kindness_female_asym_2,kindness_female_asym_2_num,socialclass_female_asym_2,socialclass_female_asym_2_num,intelligence_female_sym_2,intelligence_female_sym_2_num,kindness_female_sym_2,kindness_female_sym_2_num,socialclass_female_sym_2,socialclass_female_sym_2_num,intelligence_male_asym_1,intelligence_male_asym_1_num,kindness_male_asym_1,kindness_male_asym_1_num,socialclass_male_asym_1,socialclass_male_asym_1_num,intelligence_male_sym_1,intelligence_male_sym_1_num,kindness_male_sym_1,kindness_male_sym_1_num,socialclass_male_sym_1,socialclass_male_sym_1_num,intelligence_male_asym_2,intelligence_male_asym_2_num,kindness_male_asym_2,kindness_male_asym_2_num,socialclass_male_asym_2,socialclass_male_asym_2_num,intelligence_male_sym_2,intelligence_male_sym_2_num,kindness_male_sym_2,kindness_male_sym_2_num,socialclass_male_sym_2,socialclass_male_sym_2_num
35,18 - 24,Yes,Female,East Asian,Highly Intelligent,5,Somewhat Kind,3,Lower High Class,4,Moderately Intelligent,4,Somewhat Unkind,2,Lower High Class,4,Moderately Intelligent,4,Somewhat Unkind,2,Lower High Class,4,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Lower High Class,4,Moderately Intelligent,4,Somewhat Kind,3,Lower High Class,4,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3
36,18 - 24,Yes,Male,Caucasian,Moderately Intelligent,4,Somewhat Kind,3,Lower High Class,4,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Moderately Unintelligent,1,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Moderately Unintelligent,1,Moderately Unkind,1,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3
37,18 - 24,Yes,Female,"East Asian,Southeast Asian",Moderately Intelligent,4,Not Kind At All,0,Upper High Class,5,Moderately Unintelligent,1,Moderately Kind,4,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Unkind,1,Lower Middle Class,2,Somewhat Unintelligent,2,Moderately Kind,4,Lower Middle Class,2,Somewhat Unintelligent,2,Moderately Unkind,1,Upper Middle Class,3,Highly Intelligent,5,Definitely Kind,5,Lower High Class,4,Moderately Intelligent,4,Somewhat Kind,3,Lower High Class,4
38,18 - 24,Yes,Male,South Asian,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Unkind,2,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2
39,18 - 24,Yes,Female,Southeast Asian,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Kind,3,Lower High Class,4
40,18 - 24,Yes,Female,South Asian,Moderately Unintelligent,1,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Highly Intelligent,5,Definitely Kind,5,Upper Low Class,1,Moderately Unintelligent,1,Somewhat Kind,3,Upper High Class,5,Highly Unintelligent,0,Somewhat Unkind,2,Upper Low Class,1,Moderately Intelligent,4,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Definitely Kind,5,Upper Middle Class,3
41,18 - 24,Yes,Female,Caucasian,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3
42,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Somewhat Kind,3,Lower High Class,4,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Lower High Class,4,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Upper Middle Class,3
43,18 - 24,Yes,Female,East Asian,Moderately Intelligent,4,Somewhat Unkind,2,Lower High Class,4,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Moderately Unintelligent,1,Somewhat Kind,3,Upper Low Class,1,Somewhat Unintelligent,2,Moderately Unkind,1,Upper Low Class,1,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Highly Intelligent,5,Somewhat Kind,3,Upper High Class,5,Moderately Intelligent,4,Somewhat Kind,3,Lower High Class,4,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2
44,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Moderately Kind,4,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower High Class,4,Moderately Unintelligent,1,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2
45,18 - 24,Yes,Male,East Asian,Moderately Intelligent,4,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2
46,18 - 24,Yes,Female,Caucasian,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Upper Low Class,1,Moderately Intelligent,4,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Kind,3,Lower High Class,4
47,18 - 24,Yes,Female,Caucasian,Somewhat Intelligent,3,Moderately Unkind,1,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Unkind,2,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Somewhat Unintelligent,2,Moderately Kind,4,Upper Low Class,1,Highly Intelligent,5,Moderately Kind,4,Lower High Class,4,Highly Intelligent,5,Definitely Kind,5,Lower High Class,4,Somewhat Unintelligent,2,Somewhat Unkind,2,Upper High Class,5
48,18 - 24,Yes,Non-binary / third gender,Caucasian,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Moderately Unintelligent,1,Not Kind At All,0,Upper High Class,5,Somewhat Intelligent,3,Moderately Unkind,1,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Kind,3,Lower High Class,4,Somewhat Intelligent,3,Somewhat Unkind,2,Upper High Class,5
49,18 - 24,Yes,Female,"Caucasian,East Asian",Somewhat Intelligent,3,Definitely Kind,5,Upper Low Class,1,Moderately Intelligent,4,Definitely Kind,5,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Upper Low Class,1,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Low Class,1,Highly Intelligent,5,Somewhat Kind,3,Lower High Class,4,Moderately Intelligent,4,Definitely Kind,5,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Kind,4,Lower High Class,4
50,18 - 24,Yes,Female,Caucasian,Moderately Unintelligent,1,Moderately Kind,4,Lower High Class,4,Highly Intelligent,5,Somewhat Kind,3,Upper Low Class,1,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Somewhat Unintelligent,2,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Definitely Kind,5,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Definitely Kind,5,Upper Middle Class,3,Highly Unintelligent,0,Somewhat Kind,3,Upper Middle Class,3
51,18 - 24,Yes,Female,Caucasian,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Unkind,2,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Unkind,2,Upper Middle Class,3
52,18 - 24,Yes,Prefer not to say,East Asian,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Moderately Unintelligent,1,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3
53,18 - 24,Yes,Female,Southeast Asian,Moderately Intelligent,4,Moderately Kind,4,Upper High Class,5,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Definitely Kind,5,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Unintelligent,2,Moderately Kind,4,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Lower High Class,4
54,18 - 24,Yes,Male,Latin American,Somewhat Intelligent,3,Somewhat Kind,3,Lower High Class,4,Moderately Intelligent,4,Somewhat Kind,3,Upper Low Class,1,Moderately Intelligent,4,Moderately Unkind,1,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Unkind,1,Lower Middle Class,2,Somewhat Unintelligent,2,Moderately Kind,4,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Upper Low Class,1,Moderately Intelligent,4,Moderately Kind,4,Upper Low Class,1
55,18 - 24,Yes,Female,East Asian,Moderately Intelligent,4,Moderately Unkind,1,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Lower Middle Class,2,Highly Intelligent,5,Somewhat Unkind,2,Lower Middle Class,2,Moderately Intelligent,4,Definitely Kind,5,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower High Class,4
56,18 - 24,Yes,Male,East Asian,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Moderately Kind,4,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Moderately Unintelligent,1,Somewhat Kind,3,Upper Low Class,1,Highly Unintelligent,0,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Intelligent,3,Definitely Kind,5,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2
57,18 - 24,Yes,Female,East Asian,Highly Intelligent,5,Moderately Kind,4,Lower Middle Class,2,Highly Intelligent,5,Definitely Kind,5,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Upper Low Class,1,Moderately Intelligent,4,Somewhat Kind,3,Upper Low Class,1,Moderately Intelligent,4,Moderately Kind,4,Lower High Class,4,Highly Intelligent,5,Moderately Kind,4,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3
58,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Middle Class,3,Highly Intelligent,5,Moderately Kind,4,Lower High Class,4,Highly Intelligent,5,Moderately Kind,4,Lower High Class,4,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Lower High Class,4,Somewhat Unintelligent,2,Moderately Kind,4,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2
59,18 - 24,Yes,Female,East Asian,Highly Intelligent,5,Somewhat Unkind,2,Lower High Class,4,Highly Intelligent,5,Definitely Kind,5,Upper Middle Class,3,Moderately Intelligent,4,Definitely Kind,5,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Moderately Unkind,1,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Lower Middle Class,2,Somewhat Intelligent,3,Definitely Kind,5,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Unkind,2,Upper Middle Class,3
60,18 - 24,Yes,Female,East Asian,Moderately Intelligent,4,Somewhat Unkind,2,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Unkind,2,Upper High Class,5,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Lower High Class,4,Moderately Intelligent,4,Moderately Kind,4,Lower High Class,4,Moderately Intelligent,4,Somewhat Unkind,2,Lower Middle Class,2
61,18 - 24,Yes,Female,Caucasian,Somewhat Intelligent,3,Moderately Kind,4,Lower High Class,4,Highly Intelligent,5,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Lower High Class,4,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Kind,3,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Unkind,2,Upper Low Class,1
62,18 - 24,Yes,Male,East Asian,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Unkind,1,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Kind,3,Upper Middle Class,3,Moderately Unintelligent,1,Moderately Unkind,1,Lower High Class,4
63,18 - 24,Yes,Male,East Asian,Somewhat Unintelligent,2,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Lower High Class,4,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3
64,18 - 24,Yes,Male,East Asian,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2,Moderately Unintelligent,1,Moderately Unkind,1,Lower Middle Class,2,Moderately Unintelligent,1,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Unkind,2,Upper Middle Class,3
65,18 - 24,Yes,Female,East Asian,Somewhat Unintelligent,2,Somewhat Unkind,2,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper High Class,5,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Lower High Class,4,Highly Intelligent,5,Moderately Kind,4,Upper High Class,5,Somewhat Intelligent,3,Somewhat Kind,3,Lower High Class,4
66,18 - 24,Yes,Male,"Caucasian,Latin American",Moderately Intelligent,4,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Unkind,2,Upper High Class,5,Highly Intelligent,5,Definitely Kind,5,Upper Middle Class,3,Moderately Unintelligent,1,Not Kind At All,0,Upper High Class,5,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Unkind,1,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Moderately Kind,4,Lower High Class,4
67,18 - 24,Yes,Female,East Asian,Somewhat Intelligent,3,Somewhat Unkind,2,Lower High Class,4,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Lower High Class,4,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2
68,18 - 24,Yes,Female,"East Asian,Southeast Asian",Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Moderately Intelligent,4,Moderately Unkind,1,Upper Middle Class,3,Moderately Intelligent,4,Somewhat Kind,3,Lower Middle Class,2,Somewhat Unintelligent,2,Somewhat Unkind,2,Upper High Class,5
69,18 - 24,Yes,Female,East Asian,Moderately Intelligent,4,Somewhat Unkind,2,Lower High Class,4,Somewhat Intelligent,3,Moderately Kind,4,Upper Middle Class,3,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Kind,3,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Unkind,2,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Upper Middle Class,3,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2
70,18 - 24,Yes,Female,East Asian,Moderately Intelligent,4,Somewhat Kind,3,Upper Middle Class,3,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Moderately Intelligent,4,Somewhat Unkind,2,Lower High Class,4,Somewhat Unintelligent,2,Somewhat Unkind,2,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Kind,4,Lower Middle Class,2,Moderately Intelligent,4,Definitely Kind,5,Lower High Class,4,Moderately Intelligent,4,Moderately Kind,4,Lower High Class,4,Somewhat Unintelligent,2,Moderately Unkind,1,Upper Low Class,1
71,18 - 24,Yes,Female,Southeast Asian,Moderately Intelligent,4,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Moderately Kind,4,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Kind,3,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Kind,3,Lower Middle Class,2,Somewhat Intelligent,3,Somewhat Kind,3,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Low Class,1,Moderately Intelligent,4,Somewhat Kind,3,Upper Low Class,1,Somewhat Intelligent,3,Somewhat Unkind,2,Upper Low Class,1
